,t-SNE 1,t-SNE 2
E0_282,425.23154,-257.8171
E0_605,-325.5286,-399.37332
E0_724,136.49062,158.93285
E0_965,-475.06244,222.51797
E0_816,310.88293,-15.796383
E0_709,-42.472984,-525.0409
E0_102,-214.8446,-168.30748
E0_261,-252.87413,104.19969
E0_900,-408.0392,-70.319115
E0_595,-44.098,-2.557289
E0_860,207.13962,-393.7729
E0_596,-3.1951442,475.45605
E0_670,-76.27899,243.23592
E0_576,-630.867,-109.14979
E0_755,-274.6568,415.07605
E0_722,245.86385,429.58124
E0_124,135.2305,-135.91301
E0_623,387.0386,230.14317
E0_351,-31.90273,-282.57782
E0_632,561.6877,24.54547
